id,site_key,kwp,latitude,longitude,panel_count,panel_model,inverter_model
XAJI,14,66.0,-37.71828652,145.0509752,200.0,Trina 330W,2 x SolarEdge SE27.6K
0Y6D,15,94.24,-37.71828652,145.0509752,304.0,Trina 310W,1 x SolarEdge SE82.8K
AHXT,17,45.26,-37.71828652,145.0509752,146.0,Trina 310W,1 x SolarEdge SE25K + 1 x SolarEdge SE15K
HV3A,18,167.97,-37.71828652,145.0509752,509.0,Trina 330W,3 x SolarEdge SE50K
8MDD,20,77.22,-37.71828652,145.0509752,234.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K
4V30,21,39.27,-37.71828652,145.0509752,119.0,Trina 330W,2 x SolarEdge SE17K
T9NT,22,72.27,-37.71828652,145.0509752,219.0,Trina 330W,1 x SolarEdge SE82.8K
3W5U,23,58.9,-37.71828652,145.0509752,190.0,Trina 310W,1 x SolarEdge SE50K
CIDK,25,384.12,-37.71828652,145.0509752,1164.0,Trina 330W,4 x SolarEdge SE82.8K
WNNH,26,38.94,-37.71828652,145.0509752,118.0,Trina 330W,1 x SolarEdge SE17K + 1 x SolarEdge SE15K
J7XV,27,539.8,-37.71828652,145.0509752,1240.92,Sunpower SPR-E20-435-COM,5 X ABB
G0FN,30,42.16,-37.71828652,145.0509752,136.0,Trina 310W,2 x SolarEdge SE17K
9XUY,31,76.23,-37.71828652,145.0509752,231.0,Trina 330W,2 x SolarEdge SE25K + 1 x SolarEdge SE15K
41IB,32,35.64,-37.71828652,145.0509752,108.0,Trina 330W,2 x SolarEdge SE15K
LJH7,33,87.78,-37.71828652,145.0509752,266.0,Trina 330W,1 x SolarEdge SE82.8K
5LXO,34,21.39,-37.71828652,145.0509752,69.0,Trina 310W,1 x SolarEdge SE17K
6QJI,35,29.45,-37.71828652,145.0509752,95.0,Trina 310W,1 x SolarEdge SE25K
UJV6,36,49.83,-37.71828652,145.0509752,151.0,Trina 330W,1 x SolarEdge SE27.6K + 1 x SolarEdge SE15K
OH9S,37,51.15,-37.71828652,145.0509752,155.0,Trina 330W,1 x SolarEdge SE25K + 1 x SolarEdge SE17K
DBDW,38,56.76,-37.71828652,145.0509752,172.0,Trina 330W,1 x SolarEdge SE50K
9T84,40,84.81,-37.71828652,145.0509752,257.0,Trina 330W,1 x SolarEdge SE82.8K
